chars,Katniss Everdeen,Peeta Mellark,Gale Hawthorne,Haymitch Abernathy,Effie Trinket,Cinna,Caesar Flickerman,President Snow,Seneca Crane,Claudius Templesmith,Cato,Clove,Rue,Primrose Everdeen,Hob Vendor,Katniss' Mother,Registration Woman,Propaganda Film Tribute,Peeta's Mother,Venia,Flavius,Octavia,Thresh,Glimmer,Marvel,Portia,Tribute Boy District 3,Tribute Girl District 3,Tribute Boy District 4,Fox Face,Tribute Girl District 8,Tribute Boy District 9,Tribute Girl District 9,Tribute Girl District 10,Atala,Hovercraft Tech,Katniss' Father,Coal Miner
Marvel,3,3,0,0,0,0,5,5,,0,2,2,3,,0,,,0,,,,,3,2,0,,3,3,3,3,3,3,3,3,5,5,,0
Portia,5,5,0,0,0,2,0,0,,0,,,,,0,,,0,,,,,,,,0,,,,,,,,,,,,0
Tribute Boy District 3,3,3,0,0,0,0,0,5,0,0,3,2,3,0,0,0,0,0,0,0,0,0,3,3,3,0,0,2,3,0,3,2,3,3,5,5,0,0
Tribute Girl District 3,3,3,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,2,0,3,0,3,3,3,3,5,5,0,0
Tribute Boy District 4,3,3,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,3,3,3,3,5,5,0,0
Fox Face,3,3,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,3,5,5,0,0
Tribute Girl District 8,3,3,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,0,3,3,3,5,5,0,0
Tribute Boy District 9,3,3,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,2,3,3,3,3,0,2,3,5,5,0,0
Tribute Girl District 9,3,3,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,3,2,0,3,0,0,0,0
Tribute Girl District 10,3,3,0,0,0,0,0,5,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,3,3,3,0,0,0,0,0
Atala,5,5,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0
Hovercraft Tech,5,5,0,,,,0,0,,0,5,5,5,,0,,,0,,,,,,5,5,,5,5,5,5,5,5,5,5,,0,,0
Katniss' Father,1,,0,,,,0,0,,0,,,,,0,,,0,,,,,,,,,,,,,,,,,,,0,5
Coal Miner,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
